"","Subject","item","noun","condition","word.CRESP","word.RESP","word.ACC","word.RT","spr_listnr_assigned","recog_listnr_assigned","wrong_combo"
"1","oa_1","13_unexpected","Couch","unexpected","j","j",1,10795,4,2,""
"2","oa_1","14_unseen","Fahrzeuge",NA,"n","n",1,5118,4,2,""
"3","oa_1","5_unexpected","Grundstück","unexpected","j","n",0,5859,4,2,""
"4","oa_1","7_unseen","Zeichnung",NA,"n","n",1,2298,4,2,""
"5","oa_1","48_unexpected","Dachboden","unexpected","j","j",1,2470,4,2,""
"6","oa_1","11_unseen","Zuneigung",NA,"n","j",0,3027,4,2,""
"7","oa_1","19_unexpected","Klappe","unexpected","j","n",0,3803,4,2,""
"8","oa_1","4_unseen","Unterricht",NA,"n","n",1,11939,4,2,""
"9","oa_1","42_expected","Boden","expected","j","j",1,17314,4,2,""
"10","oa_1","36_unseen","Schande",NA,"n","n",1,2570,4,2,""
"11","oa_1","40_expected","Affen","expected","j","j",1,3108,4,2,""
"12","oa_1","6_unseen","Gipfel",NA,"n","n",1,3000,4,2,""
"13","oa_1","39_unexpected","Hospital","unexpected","j","j",1,3433,4,2,""
"14","oa_1","3_unexpected","Haus","unexpected","j","n",0,4376,4,2,""
"15","oa_1","30_unseen","Toaster",NA,"n","n",1,1994,4,2,""
"16","oa_1","20_expected","Fahrrad","expected","j","j",1,1947,4,2,""
"17","oa_1","32_unseen","Buchstaben",NA,"n","n",1,1966,4,2,""
"18","oa_1","4_expected","Zähne","expected","j","j",1,4175,4,2,""
"19","oa_1","5_unseen","Kopfgeld",NA,"n","n",1,2289,4,2,""
"20","oa_1","9_unexpected","Menge","unexpected","j","j",1,4718,4,2,""
"21","oa_1","8_expected","Berge","expected","j","j",1,2850,4,2,""
"22","oa_1","15_unseen","Künstlerin",NA,"n","j",0,1809,4,2,""
"23","oa_1","6_expected","Tisch","expected","j","j",1,3657,4,2,""
"24","oa_1","34_expected","Bäckerei","expected","j","j",1,2519,4,2,""
"25","oa_1","1_unseen","Käsekuchen",NA,"n","j",0,2523,4,2,""
"26","oa_1","38_expected","Licht","expected","j","j",1,7222,4,2,""
"27","oa_1","23_unseen","Röhre",NA,"n","n",1,2672,4,2,""
"28","oa_1","14_expected","Ferien","expected","j","j",1,1852,4,2,""
"29","oa_1","39_unseen","Makler",NA,"n","n",1,2906,4,2,""
"30","oa_1","2_unseen","Technik",NA,"n","j",0,4055,4,2,""
"31","oa_1","18_expected","Orchester","expected","j","j",1,1309,4,2,""
"32","oa_1","37_unseen","Smaragd",NA,"n","n",1,2489,4,2,""
"33","oa_1","45_unexpected","Antwort","unexpected","j","n",0,4614,4,2,""
"34","oa_1","10_unseen","Zwerge",NA,"n","n",1,12814,4,2,""
"35","oa_1","17_unseen","Brüder",NA,"n","j",0,2546,4,2,""
"36","oa_1","7_unexpected","Wagen","unexpected","j","j",1,2092,4,2,""
"37","oa_1","37_unexpected","Waffe","unexpected","j","n",0,5241,4,2,""
"38","oa_1","40_unseen","Türke",NA,"n","n",1,3025,4,2,""
"39","oa_1","29_unseen","Materie",NA,"n","n",1,1305,4,2,""
"40","oa_1","49_expected","Paket","expected","j","j",1,1717,4,2,""
"41","oa_1","17_unexpected","Herausforderung","unexpected","j","j",1,2592,4,2,""
"42","oa_1","25_unexpected","Wappen","unexpected","j","n",0,1993,4,2,""
"43","oa_1","43_unexpected","Gatter","unexpected","j","n",0,1258,4,2,""
"44","oa_1","13_unseen","Frosch",NA,"n","j",0,4639,4,2,""
"45","oa_1","3_unseen","Lippen",NA,"n","j",0,3815,4,2,""
"46","oa_1","35_unexpected","Mund","unexpected","j","j",1,3223,4,2,""
"47","oa_1","33_unseen","Weste",NA,"n","j",0,1327,4,2,""
"48","oa_1","16_unseen","Antarktis",NA,"n","n",1,1250,4,2,""
"49","oa_1","25_unseen","Einzelkind",NA,"n","j",0,1760,4,2,""
"50","oa_1","28_unseen","Verschluss",NA,"n","n",1,1586,4,2,""
"51","oa_1","31_unexpected","Watte","unexpected","j","j",1,4698,4,2,""
"52","oa_1","19_unseen","Bombe",NA,"n","n",1,1447,4,2,""
"53","oa_1","2_expected","Auto","expected","j","j",1,1654,4,2,""
"54","oa_1","12_unseen","Wunsch",NA,"n","j",0,3052,4,2,""
"55","oa_1","36_expected","Sauna","expected","j","n",0,5417,4,2,""
"56","oa_1","16_expected","Schloss","expected","j","n",0,3658,4,2,""
